arima_error_trend
39423.41935128577
39168.69743771652
39072.326552449864
39097.16359331237
39206.41661309298
39366.97684893001
39551.02219927883
39736.78200953681
39908.582267510086
40056.3802066769
40174.97189950971
40263.031370130164
40322.10802029229
40355.676256211154
40368.30003927158
40364.94772179548
40350.470115439806
40329.23768897528
40304.92096144552
40280.39101756129
40257.71386410796
40238.21220517751
40222.57027303847
40210.960811893994
40203.17748933373
40198.760358073145
40197.10610446439
40197.55843101961
40199.476876826564
40202.284627991045
40205.4974292904
40208.73664808193
40211.729962746744
40214.3031647081
40216.36628984882
40217.896837366156
40218.92228203794
40219.503511661
40219.72027834036
40219.659275824546
40219.405065064886
40219.033773731244
40218.60928996684
40218.181546934255
40217.786439395866
40217.4469116036
40217.174792025355
40216.973010996226
40216.83791033754
40216.76142982312
40216.73302706526
40216.74125027047
40216.774934763234
40216.82403326383
40216.88011698018
40216.93660086242
40216.9887536308
40217.03355341519
40217.069445034285
40217.09604693121
40217.113846141074
40217.123909650545
40217.12763104521
40217.12652304288
40217.122059724636
40217.115567121175
40217.10815724466
40217.10069851152
40217.093814548534
40217.087903348496
40217.08316938011
40217.07966231656
