day,week,year,trend_error
-1608.0334827412082,1180.6711807537772,-2711.5808752787902,40228.977
-2026.3551711431812,1268.9345315117403,-2732.103843200464,40153.113
-2018.3669549983574,1293.215001695716,-2989.28103464938,40291.293
-1666.1267166064142,1136.9097563774937,-3330.734508154644,40608.168
-769.9236646550622,598.9068527876581,-3797.906378461208,40979.09
870.4115414201849,-415.02429901589824,-4661.718640524948,41381.098
2964.5287837076285,-1499.5248144194302,-5827.608354313252,41747.863
4520.838624413338,-1555.292206039949,-6384.525514463897,42044.25
4522.003064875522,-1338.9283097495802,-5757.73997519498,42227.758
3320.139749410641,-1580.306377045338,-4556.60366767954,42341.285
1746.0315431631,-1927.2563935746293,-3361.26369055603,42297.723
162.3261969523263,-2134.762624213862,-2371.4857800232107,42113.17
-1186.9812393542763,-2205.6546745802166,-1639.542974124358,41895.98
-2232.6804354019205,-2252.5551597583108,-1233.5569788787068,41666.652
-2967.6393766448464,-2183.9327703658387,-871.7216191146059,41402.094
-3165.68874920724,-2083.7218066948676,-653.5735925510902,41176.797
-2728.092937261961,-1887.7948593186495,-509.65604370457766,40954.527
-907.5083847635904,-1572.1486961992464,-609.4033535899905,40767.594
1218.5227497296887,-1215.9260449836167,-1236.5336612625626,40675.195
1614.1350171462711,-972.3439567656948,-1849.373445581344,40713.082
1642.440220665906,-872.9346033802817,-2456.915046912344,40923.973
1324.098808705476,-776.2059079914293,-2856.581581414192,41220.67
376.5324571576772,-774.0698469666426,-3066.3664134130163,41566.21
-741.5403378455999,-791.0072075535564,-3134.512676291306,42095.895
-1560.3557518343896,-799.7343228972394,99.88716098059052,42787.402
-2078.0224607611326,-707.4932419648677,-71.2772933969902,43518.8
-2151.216108417945,-575.8471090153598,-352.8448158991135,44182.24
-1870.8244188533677,-399.78352253336516,-616.2508037023435,44703.586
-1039.3256001591715,-115.24550577875004,-912.2144018694644,45067.383
554.3398981003228,285.0242895269744,-1324.8508581443723,45226.1
2627.4953618126556,703.9662533520927,-1938.0450002786415,45244.15
4227.802976867927,810.2858291896631,-2111.082975414409,45081.668
4347.728053652709,692.4175954310617,-1656.8327962292217,44780.16
3284.036535048405,654.5154726260679,-712.0059327965505,44365.137
1834.0094710664323,729.1076133434195,247.71219038503324,43943.77
365.4337363338311,802.3954210956374,1124.9410558593793,43462.457
-882.1215437174675,827.8015921766666,1818.122450741539,42996.094
-1862.7593679377665,811.639746877505,2310.6429241972573,42523.664
-2565.660025545468,732.3730167607453,2616.217476848639,42118.855
-2761.949747310565,657.0591602938565,2784.4090576454228,41817.355
-2349.8218850204757,579.0706088569065,2853.110744962945,41513.41
-574.2656883583558,577.0248978807622,2767.304272440957,41348.434
1503.654677292213,582.8661322076064,2292.717130025232,41367.223
1855.9166720944966,407.3544220995754,1949.260718848033,41527.066
1842.6142890347467,253.11061278922233,1666.1629392568832,41805.03
1480.4502052312037,-73.16844418126968,1350.6531978644286,42265.4
494.84014244246305,-425.1414773582603,1019.1334139329336,42854.598
-661.4484410455757,-631.6132036314917,823.6465341216654,43487.797
-1489.5204008427581,-721.6121674633299,1556.9375555094614,44019.727
-2063.679929266084,-757.2678626723023,1425.2994926393394,44373.6
-2180.429583831099,-730.8201648347646,1400.4454868546404,44531.04
-1934.4078686814053,-698.888828001258,1441.6306228273502,44499.78
-1128.1233901903101,-492.6758730941466,1579.4157964445749,44329.836
451.14840035436345,-91.94066398809785,1735.1627744458674,44127.008
2516.9467123280756,415.6881417010759,1843.573195790588,43880.883
4157.428850329353,493.8595491523338,2116.0748053655543,43678.18
4343.174674114494,348.5363187732784,2294.643839019936,43409.984
3328.6559773607023,179.56536539537225,2166.097261389906,43197.973
1912.3621552596776,163.44359866186042,1788.5283039294272,43084.9
481.35617720732085,92.36132399887585,1229.7235636599726,43040.504
-737.8755316657051,37.74885156602595,576.9209972742653,42979.703
-1710.8656844223008,41.91204896140353,-80.21471338633145,42985.84
-2413.6915271454577,38.834865325735464,-675.9098087520252,43072.64
-2625.74126715139,-14.228838437330145,-1078.828800039446,43112.625
-2229.730244222374,-56.573663325665095,-1192.9913512202418,43201.23
-457.64207836833896,-14.172936722032409,-754.632803217578,43393.047
1604.0109596255024,56.364009876189655,56.56563803965064,43595.38
1943.6220109407702,73.50830066849055,523.4618252737256,43863.586
1927.2342596519466,-51.14107404656575,925.9084114043286,44158.492
1565.6962117921667,-243.1058332480678,1186.1125650069037,44406.66
592.3791590910374,-556.177878245496,1261.039993222293,44651.48
-560.2571949175403,-737.6612602806181,1384.3468839097882,44788.297
